Source,Target,Weight,Type
P018307E8,GROUP_PROSVETA,1.0,belongs_to_group
P018307E8,TOOL_DeepL,0.2,uses_tool
P018307E8,ORG_Meta,1.0,affiliated_with
P050B826B,GROUP_MEDICINA,1.0,belongs_to_group
P050B826B,TOOL_Bing_Chat,0.2,uses_tool
P050B826B,TOOL_ChatGPT,0.2,uses_tool
P050B826B,TOOL_DeepL,0.2,uses_tool
P050B826B,TOOL_GitHub_Copilot,0.2,uses_tool
P050B826B,TOOL_Midjourney,0.2,uses_tool
P050B826B,ORG_Meta,1.0,affiliated_with
P0516CF46,GROUP_KREATIVNA_FILMSKA,1.0,belongs_to_group
P0516CF46,TOOL_Midjourney,0.2,uses_tool
P0516CF46,TOOL_ChatGPT,0.2,uses_tool
P0516CF46,TOOL_Grammarly,0.2,uses_tool
P0516CF46,TOOL_Bing_Chat,0.2,uses_tool
P05F234CB,GROUP_MEDICINA,1.0,belongs_to_group
P05F234CB,TOOL_DALL-E,0.2,uses_tool
P05F234CB,TOOL_Midjourney,0.2,uses_tool
P05F234CB,TOOL_Grammarly,0.2,uses_tool
P05F234CB,ORG_Oracle,1.0,affiliated_with
P0108E85C,GROUP_PROSVETA,1.0,belongs_to_group
P0108E85C,TOOL_ChatGPT,0.2,uses_tool
P0108E85C,TOOL_Bing_Chat,0.2,uses_tool
P0108E85C,TOOL_Claude,0.2,uses_tool
P0108E85C,TOOL_DeepL,0.2,uses_tool
P0108E85C,TOOL_Midjourney,0.2,uses_tool
P0108E85C,ORG_Univerzitet_u_Novom_Sadu,1.0,affiliated_with
P00B265F2,GROUP_KREATIVNA_FILMSKA,1.0,belongs_to_group
P00B265F2,TOOL_DALL-E,0.2,uses_tool
P00B265F2,TOOL_Claude,0.2,uses_tool
P02303954,GROUP_PROSVETA,1.0,belongs_to_group
P02303954,TOOL_Bing_Chat,0.2,uses_tool
P02303954,TOOL_Gemini,0.2,uses_tool
P02303954,TOOL_DALL-E,0.2,uses_tool
P0516CF46,GROUP_KREATIVNA_FILMSKA,1.0,belongs_to_group
P0516CF46,TOOL_Bing_Chat,0.2,uses_tool
P0516CF46,TOOL_GitHub_Copilot,0.2,uses_tool
P0516CF46,TOOL_Grammarly,0.2,uses_tool
P0516CF46,TOOL_Claude,0.2,uses_tool
P0516CF46,TOOL_DeepL,0.2,uses_tool
P0516CF46,GROUP_PROSVETA,1.0,belongs_to_group
P0516CF46,TOOL_DeepL,0.2,uses_tool
P0516CF46,TOOL_Grammarly,0.2,uses_tool
P00AC35ED,GROUP_PROSVETA,1.0,belongs_to_group
P00AC35ED,TOOL_Stable_Diffusion,0.2,uses_tool
P00AC35ED,TOOL_DeepL,0.2,uses_tool
P00AC35ED,TOOL_Bing_Chat,0.2,uses_tool
P00AC35ED,TOOL_DALL-E,0.2,uses_tool
P00AC35ED,TOOL_GitHub_Copilot,0.2,uses_tool
P00AC35ED,ORG_Univerzitet_u_Novom_Sadu,1.0,affiliated_with
P0108E85C,GROUP_OSTALO,1.0,belongs_to_group
P0108E85C,TOOL_GitHub_Copilot,0.2,uses_tool
P0108E85C,TOOL_DeepL,0.2,uses_tool
P0108E85C,TOOL_Stable_Diffusion,0.2,uses_tool
P0108E85C,TOOL_Midjourney,0.2,uses_tool
P02B4F499,GROUP_MEDICINA,1.0,belongs_to_group
P02B4F499,TOOL_Claude,0.2,uses_tool
P02B4F499,TOOL_Gemini,0.2,uses_tool
P05824668,GROUP_IT_INDUSTRIJA,1.0,belongs_to_group
P05824668,TOOL_Grammarly,0.2,uses_tool
P05824668,TOOL_ChatGPT,0.2,uses_tool
P05824668,TOOL_DeepL,0.2,uses_tool
P05824668,TOOL_Bing_Chat,0.2,uses_tool
P05824668,ORG_Apple,1.0,affiliated_with
P04698356,GROUP_DRUSTVENE_NAUKE,1.0,belongs_to_group
P04698356,TOOL_DeepL,0.2,uses_tool
P04698356,TOOL_Grammarly,0.2,uses_tool
P04698356,TOOL_DALL-E,0.2,uses_tool
P04698356,TOOL_GitHub_Copilot,0.2,uses_tool
P04698356,ORG_Oracle,1.0,affiliated_with
P02303954,GROUP_DRUSTVENE_NAUKE,1.0,belongs_to_group
P02303954,TOOL_GitHub_Copilot,0.2,uses_tool
P02303954,TOOL_Bing_Chat,0.2,uses_tool
P02303954,TOOL_DeepL,0.2,uses_tool
P02303954,TOOL_Grammarly,0.2,uses_tool
P02303954,TOOL_DALL-E,0.2,uses_tool
P00B265F2,GROUP_MEDICINA,1.0,belongs_to_group
P00B265F2,TOOL_Bing_Chat,0.2,uses_tool
P008B05EA,GROUP_IT_INDUSTRIJA,1.0,belongs_to_group
P008B05EA,TOOL_DeepL,0.2,uses_tool
P008B05EA,TOOL_GitHub_Copilot,0.2,uses_tool
P008B05EA,TOOL_Grammarly,0.2,uses_tool
P008B05EA,TOOL_Claude,0.2,uses_tool
P008B05EA,ORG_Apple,1.0,affiliated_with
P01F702FC,GROUP_OSTALO,1.0,belongs_to_group
P01F702FC,TOOL_GitHub_Copilot,0.2,uses_tool
P01F702FC,TOOL_DALL-E,0.2,uses_tool
P01F702FC,TOOL_Claude,0.2,uses_tool
P01F702FC,TOOL_Gemini,0.2,uses_tool
P01F702FC,TOOL_DeepL,0.2,uses_tool
P01F702FC,ORG_Nordeus,1.0,affiliated_with
P02BCFE21,GROUP_MEDICINA,1.0,belongs_to_group
P02BCFE21,TOOL_ChatGPT,0.2,uses_tool
P00C21DC6,GROUP_PROSVETA,1.0,belongs_to_group
P00C21DC6,TOOL_Grammarly,0.2,uses_tool
P00C21DC6,TOOL_GitHub_Copilot,0.2,uses_tool
P04698356,GROUP_DRUSTVENE_NAUKE,1.0,belongs_to_group
P04698356,TOOL_Midjourney,0.2,uses_tool
P04698356,TOOL_Stable_Diffusion,0.2,uses_tool
P04698356,TOOL_Grammarly,0.2,uses_tool
P04698356,TOOL_ChatGPT,0.2,uses_tool
P04698356,ORG_RT-RK,1.0,affiliated_with
P05824668,GROUP_OSTALO,1.0,belongs_to_group
P05824668,TOOL_DALL-E,0.2,uses_tool
P05824668,TOOL_GitHub_Copilot,0.2,uses_tool
P05824668,TOOL_Grammarly,0.2,uses_tool
P05824668,TOOL_DeepL,0.2,uses_tool
P05824668,TOOL_Bing_Chat,0.2,uses_tool
