Id,Label,Type,Category,UsersCount,UsersList,Size,Color,Shape
TOOL_Bing_Chat,Bing Chat,tool,conversational_ai,7,"P00581EA, P00CADA8, P01BDE40, P01D51C5, P0365770, P03A2B55, P045E20E",34,#FF4757,square
TOOL_ChatGPT,ChatGPT,tool,conversational_ai,6,"P00CADA8, P01BDE40, P01D51C5, P039CCB1, P03A2B55, P043A241",32,#FF4757,square
TOOL_Claude,Claude,tool,conversational_ai,6,"P00581EA, P0078B0C, P00D945F, P01D51C5, P03A2B55, P051888A",32,#FF4757,square
TOOL_DALL-E,DALL-E,tool,image_generation,7,"P00581EA, P00CADA8, P00D945F, P01F884A, P0365770, P039CCB1, P045E20E",34,#FF6348,square
TOOL_DeepL,DeepL,tool,translation,10,"P00CADA8, P00D945F, P017C72D, P01BDE40, P01D51C5, P0365770, P039CCB1, P03A2B55, P045E20E, P051888A",40,#1DD1A1,square
TOOL_Gemini,Gemini,tool,conversational_ai,3,"P0078B0C, P00D945F, P0365770",26,#FF4757,square
TOOL_GitHub_Copilot,GitHub Copilot,tool,code_assistant,10,"P00CADA8, P00D945F, P015A226, P01BDE40, P01D51C5, P0365770, P039CCB1, P03A2B55, P045E20E, P051888A",40,#5352ED,square
TOOL_Grammarly,Grammarly,tool,writing_assistant,7,"P00CADA8, P015A226, P01D51C5, P01F884A, P0365770, P039CCB1, P051888A",34,#FFC048,square
TOOL_Midjourney,Midjourney,tool,image_generation,5,"P01BDE40, P01D51C5, P01F884A, P039CCB1, P03A2B55",30,#FF6348,square
TOOL_Stable_Diffusion,Stable Diffusion,tool,image_generation,3,"P039CCB1, P03A2B55, P045E20E",26,#FF6348,square
